Time,Detected_Object,Confidence
2025-10-28 17:25:22,cell phone,0.8413571119308472
2025-10-28 17:25:24,chair,0.6617158651351929
2025-10-28 17:25:27,person,0.6065317988395691
2025-10-28 17:25:29,person,0.9250845313072205
2025-10-28 17:25:32,cell phone,0.8587878346443176
2025-10-28 17:25:35,person,0.927608847618103
2025-10-28 17:25:37,cell phone,0.8045230507850647
2025-10-28 17:25:40,person,0.9284136295318604
2025-10-28 17:25:42,cell phone,0.7140428423881531
2025-10-28 17:25:45,person,0.6863846182823181
2025-10-28 17:25:47,person,0.9140432476997375
2025-10-28 17:25:50,cell phone,0.7084606885910034
2025-10-28 17:25:52,person,0.6552456021308899
2025-10-28 17:25:54,person,0.8964443802833557
2025-10-28 17:25:57,person,0.8951128125190735
2025-10-28 17:26:00,person,0.8788518905639648
2025-10-28 17:26:02,chair,0.6787211894989014
2025-10-28 17:26:04,person,0.8901129961013794
2025-10-28 17:26:07,person,0.890476644039154
2025-10-28 17:26:09,person,0.8816530704498291
2025-10-28 17:26:12,person,0.8943241238594055
2025-10-28 17:26:14,person,0.9422476887702942
2025-10-28 17:26:17,person,0.9340662360191345
2025-10-28 17:26:19,person,0.9317492842674255
2025-10-28 17:26:22,person,0.928318202495575
2025-10-28 17:26:25,person,0.9332689046859741
2025-10-28 17:26:27,person,0.9328309297561646
2025-10-28 17:26:30,person,0.7113674879074097
2025-10-28 17:26:32,person,0.9389763474464417
2025-10-28 17:26:34,person,0.7316396236419678
2025-10-28 17:26:37,person,0.9360077381134033
2025-10-28 17:26:39,person,0.7431578040122986
2025-10-28 17:26:42,person,0.9345928430557251
2025-10-28 17:26:44,person,0.9377021193504333
2025-10-28 17:26:47,person,0.9370397925376892
2025-10-28 17:26:49,person,0.9397138953208923
2025-10-28 17:26:52,person,0.9403632283210754
2025-10-28 17:26:55,person,0.9325175285339355
2025-10-28 17:26:57,person,0.9291070103645325
2025-10-28 17:26:59,person,0.7071571946144104
2025-10-28 17:27:02,person,0.9295322895050049
2025-10-28 17:27:04,person,0.9328876733779907
2025-10-28 17:27:07,person,0.9256791472434998
2025-10-28 17:27:10,person,0.9205409288406372
2025-10-28 17:27:12,person,0.6266131401062012
2025-10-28 17:27:14,person,0.9354460835456848
2025-10-28 17:27:17,person,0.6305605173110962
2025-10-28 17:27:19,person,0.9244985580444336
2025-10-28 17:27:22,person,0.9105445146560669
2025-10-28 17:27:24,person,0.9427555799484253
2025-10-28 17:27:27,person,0.9411138296127319
